feature,importance
num__temp,0.4606698579554751
num__DMC,0.08738794402484787
num__RH,0.06607227024916489
num__wind,0.06416165654084054
num__ISI,0.05520710680102124
num__FFMC,0.05017643095123602
num__Y,0.044763072759034836
num__DC,0.04103280659180458
num__X,0.02963537138074583
cat__day_4,0.02737331442135467
cat__day_6,0.01948258286442637
cat__day_1,0.011069360353587361
cat__month_9,0.009237949456538368
cat__month_7,0.008659560200169943
cat__day_2,0.00765208924452249
cat__month_8,0.005689249041587478
cat__day_7,0.0039051279522021947
cat__day_3,0.003493187862170937
cat__day_5,0.0017783970179143023
cat__month_5,0.0008844382949425999
cat__month_6,0.0004325383546545147
cat__month_4,0.0004313707083409891
cat__month_2,0.0001997293251521211
cat__month_3,0.00019420556207363742
cat__month_12,0.00017856224294360084
cat__month_10,0.00016522221002718743
num__rain,6.64724745194238e-05
cat__month_1,1.2515870098850229e-07
cat__month_11,0.0
